family,seed,eps,train_eps,rob_lam,metric,direction,standard,robust,effect,score,variant,target
bbb,2,0.01,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.01,0.08,0.25,accuracy,robust-standard,0.9722,0.9628,-0.009399999999999964,,,
bbb,2,0.01,0.08,0.25,nll,standard-robust,0.08743182569742203,0.1605406105518341,-0.07310878485441208,,,
bbb,2,0.01,0.08,0.25,brier,standard-robust,0.041482407599687576,0.059211358428001404,-0.017728950828313828,,,
bbb,2,0.01,0.08,0.25,ece,standard-robust,0.005751195290684729,0.016454577293991995,-0.010703382003307267,,,
bbb,2,0.01,0.08,0.25,ece_adaptive,robust-standard,0.005603026616573328,0.015749288809299457,0.01014626219272613,,,
bbb,2,0.01,0.08,0.25,mean_predictive_entropy,robust-standard,0.0618130801498761,0.062248115371422635,0.00043503522154653834,,,
bbb,2,0.01,0.08,0.25,mean_mutual_information,robust-standard,0.013221905584104382,0.0009713396837331697,-0.012250565900371213,,,
bbb,2,0.01,0.08,0.25,mean_confidence,robust-standard,0.9777544428718573,0.9785488306828738,0.0007943878110164837,,,
bbb,2,0.03,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.03,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.03,0.08,0.25,accuracy,robust-standard,0.9386,0.9439,0.005299999999999971,,,
bbb,2,0.03,0.08,0.25,nll,standard-robust,0.2040264904499054,0.24191759526729584,-0.03789110481739044,,,
bbb,2,0.03,0.08,0.25,brier,standard-robust,0.09568183869123459,0.08882860094308853,0.006853237748146057,,,
bbb,2,0.03,0.08,0.25,ece,standard-robust,0.016190190514922147,0.025993710991740183,-0.009803520476818036,,,
bbb,2,0.03,0.08,0.25,ece_adaptive,robust-standard,0.01495646361708641,0.025440417575836174,0.010483953958749764,,,
bbb,2,0.03,0.08,0.25,mean_predictive_entropy,robust-standard,0.12429448323715464,0.08834905918445793,-0.03594542405269671,,,
bbb,2,0.03,0.08,0.25,mean_mutual_information,robust-standard,0.026163872485705803,0.00119771784784731,-0.024966154637858493,,,
bbb,2,0.03,0.08,0.25,mean_confidence,robust-standard,0.9535460062574516,0.9693403839406519,0.015794377683200356,,,
bbb,2,0.05,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.05,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.05,0.08,0.25,accuracy,robust-standard,0.8501,0.9182,0.06810000000000005,,,
bbb,2,0.05,0.08,0.25,nll,standard-robust,0.46715429425239563,0.3561769425868988,0.11097735166549683,,,
bbb,2,0.05,0.08,0.25,brier,standard-robust,0.2231166511774063,0.12929515540599823,0.09382149577140808,,,
bbb,2,0.05,0.08,0.25,ece,standard-robust,0.05713902084678414,0.03924349922239784,0.017895521624386304,,,
bbb,2,0.05,0.08,0.25,ece_adaptive,robust-standard,0.05713901183605194,0.039065542757511125,-0.018073469078540814,,,
bbb,2,0.05,0.08,0.25,mean_predictive_entropy,robust-standard,0.23007347768581476,0.12215648961977969,-0.10791698806603507,,,
bbb,2,0.05,0.08,0.25,mean_mutual_information,robust-standard,0.04879187040628885,0.001446688754181411,-0.04734518165210744,,,
bbb,2,0.05,0.08,0.25,mean_confidence,robust-standard,0.907238998572638,0.9572655243606568,0.050026525788018805,,,
bbb,2,0.07,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.07,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.07,0.08,0.25,accuracy,robust-standard,0.6821,0.8864,0.20429999999999993,,,
bbb,2,0.07,0.08,0.25,nll,standard-robust,1.0153546333312988,0.5130442380905151,0.5023103952407837,,,
bbb,2,0.07,0.08,0.25,brier,standard-robust,0.48576050996780396,0.183092400431633,0.30266810953617096,,,
bbb,2,0.07,0.08,0.25,ece,standard-robust,0.16915584604144096,0.0539361511051655,0.11521969493627546,,,
bbb,2,0.07,0.08,0.25,ece_adaptive,robust-standard,0.16915586230158808,0.05378578068017959,-0.1153700816214085,,,
bbb,2,0.07,0.08,0.25,mean_predictive_entropy,robust-standard,0.34594559962326177,0.17048735699648054,-0.17545824262678122,,,
bbb,2,0.07,0.08,0.25,mean_mutual_information,robust-standard,0.0766964038428837,0.0018527514822714386,-0.07484365236061226,,,
bbb,2,0.07,0.08,0.25,mean_confidence,robust-standard,0.8512558444548572,0.9401857648929656,0.08892992043810832,,,
bbb,2,0.08,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.08,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.08,0.08,0.25,accuracy,robust-standard,0.5577,0.8652,0.3075,,,
bbb,2,0.08,0.08,0.25,nll,standard-robust,1.441992998123169,0.613306999206543,0.828685998916626,,,
bbb,2,0.08,0.08,0.25,brier,standard-robust,0.6772736310958862,0.21774916350841522,0.459524467587471,,,
bbb,2,0.08,0.08,0.25,ece,standard-robust,0.2761606421291828,0.06352963243722919,0.2126310096919536,,,
bbb,2,0.08,0.08,0.25,ece_adaptive,robust-standard,0.27616062425971033,0.06334556633234024,-0.2128150579273701,,,
bbb,2,0.08,0.08,0.25,mean_predictive_entropy,robust-standard,0.37714079575041043,0.20169100661865635,-0.17544978913175407,,,
bbb,2,0.08,0.08,0.25,mean_mutual_information,robust-standard,0.08697306224403407,0.002109897213873017,-0.08486316503016106,,,
bbb,2,0.08,0.08,0.25,mean_confidence,robust-standard,0.8338606335267508,0.9285455571770519,0.09468492365030112,,,
bbb,2,0.1,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.1,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.1,0.08,0.25,accuracy,robust-standard,0.3192,0.8028,0.4836,,,
bbb,2,0.1,0.08,0.25,nll,standard-robust,2.625580310821533,0.8765726685523987,1.7490076422691345,,,
bbb,2,0.1,0.08,0.25,brier,standard-robust,1.1080564260482788,0.311598002910614,0.7964584231376648,,,
bbb,2,0.1,0.08,0.25,ece,standard-robust,0.5312638697206974,0.09796272858083246,0.43330114113986495,,,
bbb,2,0.1,0.08,0.25,ece_adaptive,robust-standard,0.5312638218283654,0.09796270103454592,-0.4333011207938195,,,
bbb,2,0.1,0.08,0.25,mean_predictive_entropy,robust-standard,0.3507500617215692,0.2791007737890188,-0.07164928793255038,,,
