family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.07,5,mean_p_safe_point,0.8598793307532084,0.030500005962538112,0.013640017329276824,0.822014642647136,0.8977440188592809,5
bbb,robust,0.08,0.25,0.07,5,median_p_safe_point,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.07,5,mean_p_safe_optimistic,0.9223273526186769,0.012108025158213055,0.005414873465408407,0.9072956638787032,0.9373590413586507,5
bbb,robust,0.08,0.25,0.07,5,mean_p_safe_lower,0.7937731360629428,0.029048763345716155,0.012991001900665109,0.7577101147866964,0.8298361573391891,5
bbb,robust,0.08,0.25,0.07,5,mean_p_safe_upper,0.9295992329796823,0.01199733886529612,0.0053653730503804625,0.9147049573918261,0.9444935085675384,5
bbb,robust,0.08,0.25,0.07,5,mean_interval_width,0.13582609691673936,0.031832874987274384,0.014236094478159654,0.09630669864536817,0.17534549518811055,5
bbb,robust,0.08,0.25,0.07,5,mean_ci_width,0.041774328190183604,0.003174397433063636,0.0014196336895862256,0.037833425067892244,0.045715231312474965,5
bbb,robust,0.08,0.25,0.07,5,mean_unknown_frac,0.06254936100949196,0.03266937749984261,0.01461018977445004,0.02199147419561865,0.10310724782336528,5
bbb,robust,0.08,0.25,0.07,5,mean_property_evaluations,109.864,9.911583122791232,4.432594725440167,97.5591170421781,122.1688829578219,5
bbb,robust,0.08,0.25,0.07,5,mean_net_frac_safe,0.8960000000000001,0.008944271909999166,0.0040000000000000036,0.8848960000000001,0.9071040000000001,5
bbb,robust,0.08,0.25,0.07,5,mean_net_frac_unsafe,0.076,0.016733200530681513,0.007483314773547883,0.05522631818863108,0.09677368181136892,5
bbb,robust,0.08,0.25,0.07,5,p_safe_q05,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.07,5,p_safe_q25,0.9948275862068966,0.011565868849136842,0.005172413793103447,0.9804689655172414,1.0091862068965518,5
bbb,robust,0.08,0.25,0.07,5,p_safe_q50,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.07,5,p_safe_q75,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.07,5,p_safe_q95,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.07,5,frac_robust_tau0.5,0.86,0.037416573867739444,0.016733200530681523,0.8135486353268281,0.9064513646731719,5
