comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,rho_pessimistic_standard,rho_pessimistic_robust,delta_rho_pessimistic,inverse_alignment_gain_pessimistic,rho_optimistic_standard,rho_optimistic_robust,delta_rho_optimistic,inverse_alignment_gain_optimistic
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,predictive_entropy,,-0.321246500502565,,,-0.49687017610406314,-0.29580958128637597,0.20106059481768718,-0.20106059481768718
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,expected_entropy,-0.7490293922310147,-0.2051019910451682,0.5439274011858465,-0.5439274011858465,-0.5401152993527516,-0.2051019910451682,0.33501330830758336,-0.33501330830758336
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,expected_entropy,-0.7306577702232334,,,,-0.4977864431182063,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,mutual_information,-0.7529116307395008,-0.21924695594483504,0.5336646747946658,-0.5336646747946658,-0.5390941265794361,-0.21924695594483504,0.3198471706346011,-0.3198471706346011
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,mutual_information,-0.7348614826732772,,,,-0.4966206669048147,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,-0.7546548955487096,-0.21009992040167413,0.5445549751470354,-0.5445549751470354,-0.5405021231850654,-0.21009992040167413,0.3304022027833913,-0.3304022027833913
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,-0.7367028642343012,,,,-0.49810994568663275,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,-0.7483014725106736,-0.2051019910451682,0.5431994814655053,-0.5431994814655053,-0.5401152993527516,-0.2051019910451682,0.33501330830758336,-0.33501330830758336
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,-0.7298695741388502,,,,-0.4977864431182063,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,,-0.37458206707406094,,,-0.8849840704309466,-0.2051019910451682,0.6798820793857784,-0.6798820793857784
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,,-0.32648028834000836,,,-0.882477949744198,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,,-0.38823342041731657,,,-0.8655797165323346,-0.21924695594483504,0.6463327605874996,-0.6463327605874996
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,,-0.3319130031222114,,,-0.8622496712811203,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,,-0.37917453573392,,,-0.8814158985090575,-0.21009992040167413,0.6713159781073834,-0.6713159781073834
