architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,mutual_information,rho_pessimistic,5,-0.6875809690040084,0.031244147194033553,-0.726375701729419,-0.6487862362785979
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,mutual_information,rho_optimistic,4,-0.4025166999808122,0.08791307319081991,-0.5424060174619427,-0.26262738249968165
mlp512x1,bbb,val,standard,,,standard,0.01,all,one_minus_confidence,rho_pessimistic,5,-0.7385318517555737,0.019956252247697395,-0.7633108117106124,-0.7137528918005349
mlp512x1,bbb,val,standard,,,standard,0.01,all,one_minus_confidence,rho_optimistic,5,-0.4711443623591789,0.0840451997844162,-0.5755002611533312,-0.36678846356502653
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,one_minus_confidence,rho_pessimistic,5,-0.7016121035022364,0.028624550695209954,-0.737154177565237,-0.6660700294392357
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,one_minus_confidence,rho_optimistic,4,-0.4067650768264212,0.08417383805081059,-0.5407044367795969,-0.2728257168732455
mlp512x1,bbb,val,standard,,,standard,0.01,all,predictive_entropy,rho_pessimistic,5,-0.7378641105338497,0.020425599846584923,-0.7632258425050705,-0.7125023785626289
mlp512x1,bbb,val,standard,,,standard,0.01,all,predictive_entropy,rho_optimistic,5,-0.4708461543610019,0.0840050674695424,-0.5751522223046108,-0.36654008641739294
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,predictive_entropy,rho_pessimistic,5,-0.7009975014397353,0.02805447948253329,-0.735831738601543,-0.6661632642779275
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,predictive_entropy,rho_optimistic,4,-0.4065201003020438,0.08418912328532749,-0.5404837824742763,-0.27255641812981124
mlp512x1,bbb,val,standard,,,standard,0.05,all,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,all,expected_entropy,rho_optimistic,5,-0.8592512618300127,0.016011138494231344,-0.8791317160685541,-0.8393708075914712
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,expected_entropy,rho_optimistic,5,-0.8464644152309416,0.021780879945790973,-0.8735089497088286,-0.8194198807530546
mlp512x1,bbb,val,standard,,,standard,0.05,all,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,all,mutual_information,rho_optimistic,5,-0.8257103979392119,0.027448540595690102,-0.8597922626001148,-0.791628533278309
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,mutual_information,rho_optimistic,5,-0.809413948750587,0.033737787462051104,-0.8513049448212662,-0.7675229526799079
mlp512x1,bbb,val,standard,,,standard,0.05,all,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,all,one_minus_confidence,rho_optimistic,5,-0.8537848186708763,0.016601492083840735,-0.8743982937078462,-0.8331713436339064
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,one_minus_confidence,rho_optimistic,5,-0.8403996360614403,0.022678110158371827,-0.8685582289923897,-0.812241043130491
mlp512x1,bbb,val,standard,,,standard,0.05,all,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,all,predictive_entropy,rho_optimistic,5,-0.855028831984499,0.015343024156993887,-0.8740797127038089,-0.835977951265189
