architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.9,auprc,5,0.6475018402649981,0.08424393525105019,0.5428991787967601,0.7521045017332362
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.9,prevalence,5,0.05298639455782313,0.01073743315368196,0.03965411037777673,0.06631867873786952
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,pgd_failure,,auroc,5,0.8785017730496454,0.05057670731568269,0.8157024964280732,0.9413010496712175
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,pgd_failure,,auprc,5,0.6205607315389924,0.06716239677605437,0.5371676014290891,0.7039538616488956
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,pgd_failure,,prevalence,5,0.052000000000000005,0.010954451150103319,0.03839825238683489,0.06560174761316512
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.5,auroc,3,0.9929078014184397,0.012284048280630353,0.9623925338315641,1.0234230690053154
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.5,auprc,3,0.8333333333333334,0.28867513459481287,0.11622454504175639,1.5504421216249105
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.5,prevalence,5,0.012588652482269503,0.011493239593793564,-0.0016820893440740187,0.026859394308613026
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.9,auroc,3,0.9927536231884058,0.012551092808470117,0.9615749802192067,1.0239322661576047
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.9,auprc,3,0.8333333333333334,0.28867513459481287,0.11622454504175639,1.5504421216249105
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.9,prevalence,5,0.012677304964539008,0.011574157905905007,-0.0016939102167487091,0.027048520145826725
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,pgd_failure,,auroc,3,0.9858156028368793,0.012284048280630353,0.9553003352500037,1.016330870423755
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,pgd_failure,,auprc,3,0.6666666666666666,0.28867513459481287,-0.05044212162491035,1.3837754549582435
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,pgd_failure,,prevalence,5,0.0125,0.01141088661469096,-0.00166848709704699,0.026668487097046993
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.5,auroc,5,0.9061806197964847,0.059578790381473345,0.8322037807232805,0.9801574588696889
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.5,auprc,5,0.687799043062201,0.0980596810545027,0.5660418674214812,0.8095562187029207
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.5,prevalence,5,0.05240816326530612,0.010969648786642656,0.03878754529399233,0.06602878123661991
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.9,auroc,5,0.9098519888991674,0.05398020717835037,0.8428267090302294,0.9768772687681054
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.9,auprc,5,0.6894703335879806,0.09607712233521315,0.5701748297333277,0.8087658374426335
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.9,prevalence,5,0.05298639455782313,0.01073743315368196,0.03965411037777673,0.06631867873786952
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,pgd_failure,,auroc,5,0.9031914893617021,0.05767510870940879,0.8315783832847409,0.9748045954386634
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,pgd_failure,,auprc,5,0.6835061137692717,0.0991314105588525,0.5604182101871881,0.8065940173513554
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,pgd_failure,,prevalence,5,0.052000000000000005,0.010954451150103319,0.03839825238683489,0.06560174761316512
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.5,auroc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.5,auprc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.5,prevalence,5,0.012588652482269503,0.011493239593793564,-0.0016820893440740187,0.026859394308613026
