level,file,check,detail
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00216"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00315"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00485"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.000388"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0192"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0154"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.0105"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00471"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.000949"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00122"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.000958"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00389"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.000532"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0163"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0121"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.00848"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00547"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.00123"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.000646"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00161"
