comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,task,tau,auroc_standard,auroc_robust,delta_auroc,auprc_standard,auprc_robust,delta_auprc,prevalence_standard,prevalence_robust
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,certified_below_threshold,0.5,,0.8313953488372093,,,0.6041666666666666,,1.0,0.0851063829787234
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,certified_below_threshold,0.9,,0.8097560975609757,,,0.5450825389444316,,1.0,0.10869565217391304
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,pgd_failure,,0.7626373626373626,0.7391304347826086,-0.023506927854753945,0.5517009941495068,0.29,-0.2617009941495068,0.2708333333333333,0.041666666666666664
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,certified_below_threshold,0.5,,0.7674418604651163,,,0.5454545454545454,,1.0,0.044444444444444446
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,certified_below_threshold,0.9,,0.7479674796747968,,,0.4253968253968254,,1.0,0.06818181818181818
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,pgd_failure,,0.7961904761904761,0.8097826086956521,0.013592132505175991,0.6632851207959567,0.5072751322751323,-0.15600998852082437,0.3,0.08
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,certified_below_threshold,0.5,,0.8255813953488373,,,0.5993589743589743,,1.0,0.0851063829787234
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,certified_below_threshold,0.9,,0.8048780487804879,,,0.540537084398977,,1.0,0.10869565217391304
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,pgd_failure,,0.7648351648351649,0.7391304347826086,-0.025704730052556246,0.5533493457978584,0.29,-0.26334934579785846,0.2708333333333333,0.041666666666666664
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,certified_below_threshold,0.5,,0.7674418604651163,,,0.5454545454545454,,1.0,0.044444444444444446
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,certified_below_threshold,0.9,,0.7479674796747968,,,0.4253968253968254,,1.0,0.06818181818181818
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,expected_entropy,pgd_failure,,0.8392857142857143,0.7822222222222222,-0.05706349206349215,0.8041757722567953,0.455332776385408,-0.3488429958713873,0.44,0.1
